"Room","Name"
"533-1","十二月七號"
"Time","HeartBeat"
"2020-12-09 10:47:04","77"
"2020-12-09 10:47:34","77"
"2020-12-09 10:48:04","77"
"2020-12-09 10:48:34","77"
"2020-12-09 10:49:04","77"
"2020-12-09 10:49:34","77"
"2020-12-09 10:50:04","77"
"2020-12-09 10:50:34","77"
"2020-12-09 10:51:04","77"
"2020-12-09 10:51:34","77"
"2020-12-09 10:53:04","71"
"2020-12-09 10:53:34","71"
"2020-12-09 10:54:04","71"
"2020-12-09 11:10:17","69"
"2020-12-09 11:10:47","69"
"2020-12-09 11:11:17","69"
"2020-12-09 11:11:47","69"
"2020-12-09 11:12:17","69"
"2020-12-09 11:12:47","69"
"2020-12-09 11:13:17","69"
"2020-12-09 11:13:47","69"
"2020-12-09 11:14:17","69"
"2020-12-09 11:14:47","69"
"2020-12-09 11:15:17","74"
"2020-12-09 11:15:47","74"
"2020-12-09 11:16:17","74"
"2020-12-09 11:16:47","74"
"2020-12-09 11:17:17","74"
"2020-12-09 11:17:47","74"
"2020-12-09 11:18:17","74"
"2020-12-09 11:18:47","74"
"2020-12-09 11:19:17","74"
"2020-12-09 11:19:47","74"
"2020-12-09 11:23:17","72"
"2020-12-09 11:23:47","72"
"2020-12-09 11:24:17","72"
"2020-12-09 11:24:47","72"
"2020-12-09 11:25:17","72"
"2020-12-09 11:25:47","72"
"2020-12-09 11:26:17","72"
"2020-12-09 11:26:47","72"
"2020-12-09 11:27:17","72"
"2020-12-09 11:27:47","72"
"2020-12-09 11:30:17","77"
"2020-12-09 11:30:47","77"
"2020-12-09 11:31:17","77"
"2020-12-09 11:31:47","77"
"2020-12-09 11:32:17","77"
"2020-12-09 11:32:47","77"
"2020-12-09 11:33:17","77"
"2020-12-09 11:33:47","77"
"2020-12-09 11:34:17","77"
"2020-12-09 11:47:17","84"
"2020-12-09 11:47:47","84"
"2020-12-09 11:48:17","84"
"2020-12-09 11:48:47","84"
"2020-12-09 11:49:17","84"
"2020-12-09 11:49:47","84"
"2020-12-09 11:50:17","84"
"2020-12-09 11:50:47","84"
"2020-12-09 11:51:17","84"
"2020-12-09 11:51:47","84"
"2020-12-09 11:52:17","66"
"2020-12-09 11:52:47","66"
"2020-12-09 11:53:17","66"
"2020-12-09 11:53:47","66"
"2020-12-09 11:54:17","66"
"2020-12-09 11:54:47","66"
"2020-12-09 11:55:17","66"
"2020-12-09 11:55:47","66"
"2020-12-09 11:56:17","66"
"2020-12-09 11:56:47","66"
"2020-12-09 11:58:47","86"
"2020-12-09 11:59:17","86"
"2020-12-09 11:59:47","86"
"2020-12-09 12:00:17","86"
"2020-12-09 12:00:47","86"
"2020-12-09 12:01:17","86"
"2020-12-09 12:01:47","86"
"2020-12-09 12:02:17","86"
"2020-12-09 12:02:47","86"
"2020-12-09 12:03:17","86"
"2020-12-09 12:03:47","88"
"2020-12-09 12:04:17","88"
"2020-12-09 12:04:47","88"
"2020-12-09 12:05:17","88"
"2020-12-09 12:08:17","88"
"2020-12-09 12:09:17","85"
"2020-12-09 12:09:47","85"
"2020-12-09 12:10:17","85"
"2020-12-09 12:10:47","85"
"2020-12-09 12:11:17","85"
"2020-12-09 12:11:47","85"
"2020-12-09 12:12:17","85"
